Page,Section,Description,Filename,Uploader,Date
161,POP Pre 50's - 60's (Words Pre 50's),I Always Dream of Billy,dream/billy.sal,ErnestT1,06/26/89
162,POP Pre 50's - 60's (Words Pre 50's),"I Can Dream, Cant I E *",/i can dream.sal,ErnestT1,05/18/90
162,POP Pre 50's - 60's (Words Pre 50's),I Didn't Sleep A Wink,winklastnite.sal,ErnestT1,04/21/90
162,POP Pre 50's - 60's (Words Pre 50's),I Don't Have You,i dont hav u.sal,Glass Soul,11/06/87
162,POP Pre 50's - 60's (Words Pre 50's),I Dont Want Set World E *,/wrld n fire.sal,ErnestT1,04/21/90
162,POP Pre 50's - 60's (Words Pre 50's),I Got Rhythm,i got rhythm.sal,LeeD7,01/13/89
162,POP Pre 50's - 60's (Words Pre 50's),I Only Have Eyes For You,eyes.sal,Bobbye,03/12/87
162,POP Pre 50's - 60's (Words Pre 50's),I Want A Girl Just Like..,dear old dad.sal,LeeD7,04/22/90
162,POP Pre 50's - 60's (Words Pre 50's),I'll Walk Alone,/iwalk alone.sal,ErnestT1,05/22/90
162,POP Pre 50's - 60's (Words Pre 50's),I'll be Seeing You,seeing you.sal,SID EDITOR,03/10/90
162,POP Pre 50's - 60's (Words Pre 50's),I'm Just Wild About Harry,wild about.sal,LeeD7,12/26/88
162,POP Pre 50's - 60's (Words Pre 50's),I'm Thru With Love *,thru w/love.sal,ErnestT1,05/18/90
162,POP Pre 50's - 60's (Words Pre 50's),I've Been Workin/Railroad,railroad.sal,QuakerOtis,08/25/88
162,POP Pre 50's - 60's (Words Pre 50's),I've Heard That Song B4 E,thatsong b 4.sal,ErnestT1,03/31/90
162,POP Pre 50's - 60's (Words Pre 50's),If I Could Be With You *,be with you.sal,LeeD7,01/01/89
162,POP Pre 50's - 60's (Words Pre 50's),If You Knew Susie*,susie.sal,LeeD7,11/27/88
162,POP Pre 50's - 60's (Words Pre 50's),In/Good Old Summertime,summertime.sal,QuakerOtis,10/20/88
162,POP Pre 50's - 60's (Words Pre 50's),It Had To Be You,/had to he u.sal,QuakerOtis,08/05/90
162,POP Pre 50's - 60's (Words Pre 50's),It's Only a Shanty/Town,shanty town.sal,ETriE W2,12/01/86
162,POP Pre 50's - 60's (Words Pre 50's),It's Only/Paper Moon *,paper moon.sal,LeeD7,01/13/89
162,POP Pre 50's - 60's (Words Pre 50's),Its Been a Long Long Time,itsheenalong.sal,Jac8,12/03/88
162,POP Pre 50's - 60's (Words Pre 50's),Its You Or No One,/you/no one.sal,ErnestT1,03/31/90
162,POP Pre 50's - 60's (Words Pre 50's),Jersey Bounce,jersey.sal,LeeD7,04/22/90
162,POP Pre 50's - 60's (Words Pre 50's),Johnny One Note,one note.sal,Lyric,04/12/87
162,POP Pre 50's - 60's (Words Pre 50's),Jolson Songs,jolson.lnx,LeeD7,11/24/88
162,POP Pre 50's - 60's (Words Pre 50's),Josephine,josephine l.sal,Slip note,11/05/88
162,POP Pre 50's - 60's (Words Pre 50's),Lady Be Good Gershwin E *,/lady b good.sal,ErnestT1,04/21/90
162,POP Pre 50's - 60's (Words Pre 50's),Lady of Spain,ladyofspain.sal,QuakerOtis,10/20/88
162,POP Pre 50's - 60's (Words Pre 50's),Lilli Marlene *,l.marlene.sal,LeeD7,05/20/89
162,POP Pre 50's - 60's (Words Pre 50's),Limehouse Blues,limehouse/bl.sal,ErnestT1,05/11/89
162,POP Pre 50's - 60's (Words Pre 50's),Linda Mujer-Soultrain E,/linda mujer.sal,RaiderMC,06/21/89
162,POP Pre 50's - 60's (Words Pre 50's),Lines on/Tranquil Brow E,tranquilbrow.sal,WesleyN,05/06/89
162,POP Pre 50's - 60's (Words Pre 50's),"Long, Long Ago",/long ago.sal,QuakerOtis,09/05/89
162,POP Pre 50's - 60's (Words Pre 50's),Lover Rogers&Hart,lover.sal,ErnestT1,04/21/90
162,POP Pre 50's - 60's (Words Pre 50's),Lullaby of the Leaves E,/lby/leaves.sal,RaiderMC,06/21/89
162,POP Pre 50's - 60's (Words Pre 50's),Magic is the Moonlight E *,/magic-moon.sal,ErnestT1,07/04/89
162,POP Pre 50's - 60's (Words Pre 50's),Maria Elena - Barcelata E,/maria elena.sal,ErnestT1,07/09/89
162,POP Pre 50's - 60's (Words Pre 50's),Milord,milord.sal,Marvin1,06/14/87
162,POP Pre 50's - 60's (Words Pre 50's),Misty *,unenh/misty.sal,Sandy C,05/09/88
162,POP Pre 50's - 60's (Words Pre 50's),Misty E,/misty.sal,TABman,01/20/90
162,POP Pre 50's - 60's (Words Pre 50's),Mona Lisa Nat King Cole *,/mona lisa.sal,ErnestT1,05/22/90
162,POP Pre 50's - 60's (Words Pre 50's),Moonlight in Vermont *,moon/vermont.sal,RaiderMC,06/21/89
162,POP Pre 50's - 60's (Words Pre 50's),My Heart Belongs/Daddy,heart/daddy.sal,Lyric,05/10/87
162,POP Pre 50's - 60's (Words Pre 50's),My Man,my man.sal,Jac8,01/03/89
162,POP Pre 50's - 60's (Words Pre 50's),My Reverie,/my reverie.sal,ErnestT1,04/21/90
162,POP Pre 50's - 60's (Words Pre 50's),"No Love, No Nothin' E",/noluv/nothn.sal,ErnestT1,05/18/90
162,POP Pre 50's - 60's (Words Pre 50's),"Oh, You Beautiful Doll",beautfl/doll.sal,LeeD7,09/16/90
162,POP Pre 50's - 60's (Words Pre 50's),Opus One,/opus one.sal,ErnestT1,06/26/89
162,POP Pre 50's - 60's (Words Pre 50's),Our Love E *,/our love.sal,ErnestT1,04/21/90
162,POP Pre 50's - 60's (Words Pre 50's),Paper Doll,paper doll.sal,LeeD7,02/25/89
162,POP Pre 50's - 60's (Words Pre 50's),Pennsylvania Polka,penn/polka.sal,LeeD7,04/22/90
162,POP Pre 50's - 60's (Words Pre 50's),"Perhaps,Perhaps,Perhaps",rhumba/prhps.sal,ErnestT1,05/07/89
162,POP Pre 50's - 60's (Words Pre 50's),Plaisir D'Amour-Tedesco,plaisir.sal,Jabba Hutt,09/07/86
162,POP Pre 50's - 60's (Words Pre 50's),Por Tus Ojos Negros E *,/por tus ojo.sal,ErnestT1,06/26/89
162,POP Pre 50's - 60's (Words Pre 50's),Put Another Nickel In,music.sal,LeeD7,04/15/90
162,POP Pre 50's - 60's (Words Pre 50's),Put Your Arms Around Me,arms/rnd/me.sal,LeeD7,09/16/90
162,POP Pre 50's - 60's (Words Pre 50's),Racing With The Moon E,/racing/moon.sal,ErnestT1,03/31/90
162,POP Pre 50's - 60's (Words Pre 50's),Rose of the Rio Grande E,/rose/rio/gd.sal,RaiderMC,06/21/89
162,POP Pre 50's - 60's (Words Pre 50's),Rose/Washington Square,rose of w.s..sal,ErnestT1,05/07/89
162,POP Pre 50's - 60's (Words Pre 50's),San Francisco E,/san-frcisco.sal,ErnestT1,06/26/89
162,POP Pre 50's - 60's (Words Pre 50's),Scarlet Ribbons *,scarlet.wpl,Bruce34,09/29/87
162,POP Pre 50's - 60's (Words Pre 50's),Sentimental Journey,sentimental.sal,AndrewH,08/26/88
162,POP Pre 50's - 60's (Words Pre 50's),Siboney,siboney.sal,ErnestT1,05/07/89
162,POP Pre 50's - 60's (Words Pre 50's),Since I Don't Have You,dont have u.sal,DCSTARnCPR,05/13/87
162,POP Pre 50's - 60's (Words Pre 50's),Smile - C.Chaplin,smile.sal,Marvin1,06/18/86
162,POP Pre 50's - 60's (Words Pre 50's),Smoke Rings,smoke rings.sal,Bobbie0426,09/10/87
162,POP Pre 50's - 60's (Words Pre 50's),South American Way,so/amer/way.sal,ErnestT1,06/26/89
163,POP Pre 50's - 60's (Words Pre 50's),Stardust * Bob Huffan,stardust.sal,SYSOP JON,01/27/87
